tutanak_id,donem,yasama_yili,butce_yili,tarih,tarih_raw,baslik,kaynak_url
1085,24,3,2013,2012-11-07,07/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1086,24,3,2013,2012-11-08,08/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1087,24,3,2013,2012-11-12,12/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1088,24,3,2013,2012-11-13,13/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1089,24,3,2013,2012-11-14,14/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1090,24,3,2013,2012-11-15,15/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1091,24,3,2013,2012-11-19,19/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1092,24,3,2013,2012-11-20,20/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1093,24,3,2013,2012-11-21,21/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1094,24,3,2013,2012-11-22,22/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
