link_metni,pdf_url_ham,pdf_url,gorusme_tarihi,tip,butce_yili,dosya_adi,yerel_pdf_yol,yerel_txt_yol,kaynak
1 Kasım 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/01-Ekim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/01-Ekim-2018_PBK_Gorusmeler.pdf,2018-11-01,gorusme,2019,20181101_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181101_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181101_gorusme_sbb_001.txt,sbb
2 Kasım 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/02-Ekim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/02-Ekim-2018_PBK_Gorusmeler.pdf,2018-11-02,gorusme,2019,20181102_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181102_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181102_gorusme_sbb_001.txt,sbb
5 Kasım 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/05-Kasim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/05-Kasim-2018_PBK_Gorusmeler.pdf,2018-11-05,gorusme,2019,20181105_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181105_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181105_gorusme_sbb_001.txt,sbb
6 Kasım 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/06-Kasim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/06-Kasim-2018_PBK_Gorusmeler.pdf,2018-11-06,gorusme,2019,20181106_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181106_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181106_gorusme_sbb_001.txt,sbb
7 Kasım 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/07-Kasim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/07-Kasim-2018_PBK_Gorusmeler.pdf,2018-11-07,gorusme,2019,20181107_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181107_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181107_gorusme_sbb_001.txt,sbb
8 Kasım 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/08-Kasim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/08-Kasim-2018_PBK_Gorusmeler.pdf,2018-11-08,gorusme,2019,20181108_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181108_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181108_gorusme_sbb_001.txt,sbb
9 Kasım 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/09-Kasim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/09-Kasim-2018_PBK_Gorusmeler.pdf,2018-11-09,gorusme,2019,20181109_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181109_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181109_gorusme_sbb_001.txt,sbb
12 Kasım 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/12-Kasim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/12-Kasim-2018_PBK_Gorusmeler.pdf,2018-11-12,gorusme,2019,20181112_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181112_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181112_gorusme_sbb_001.txt,sbb
13 Kasım 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/13-Kasim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/13-Kasim-2018_PBK_Gorusmeler.pdf,2018-11-13,gorusme,2019,20181113_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181113_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181113_gorusme_sbb_001.txt,sbb
14 Kasım 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/14-Kasim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/14-Kasim-2018_PBK_Gorusmeler.pdf,2018-11-14,gorusme,2019,20181114_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181114_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181114_gorusme_sbb_001.txt,sbb
15 Kasım 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/15-Kasim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/15-Kasim-2018_PBK_Gorusmeler.pdf,2018-11-15,gorusme,2019,20181115_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181115_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181115_gorusme_sbb_001.txt,sbb
16 Kasım 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/16-Kasim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/16-Kasim-2018_PBK_Gorusmeler.pdf,2018-11-16,gorusme,2019,20181116_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181116_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181116_gorusme_sbb_001.txt,sbb
